arm,seed,fold,val_auc,test_only_auc,n_test_predictions,checkpoint,state_shape_signature,state_numel,has_time_gap_proj,time_gap_control,incidence_nonzero,minutes,status,note
t_misaligned,0,0,0.827038928683038,0.8280320151306461,1093755,results\checkpoints\xes3g5m_fold0_a1_t_misaligned_s0.pt,fe668fa261b6e6f9f9ed8b0d2a6325480b79136363dec7c9ea0eb0a2088b2045,8404751,True,misaligned,0,7.85,ok,trained time-gap-control=misaligned
t_real,0,0,,0.8295981630713481,1093755,results\checkpoints\xes3g5m_fold0_qkc_cm_zero_time_s0.pt,fe668fa261b6e6f9f9ed8b0d2a6325480b79136363dec7c9ea0eb0a2088b2045,8404751,True,missing,0,0.09,ok,reused Zero+Δt; not retrained
t_zero,0,0,0.8267307304766228,0.8275860561556885,1093755,results\checkpoints\xes3g5m_fold0_a1_t_zero_s0.pt,fe668fa261b6e6f9f9ed8b0d2a6325480b79136363dec7c9ea0eb0a2088b2045,8404751,True,zero,0,7.22,ok,trained time-gap-control=zero
t_misaligned,17,0,0.8271082508877651,0.8279714230729565,1093755,results\checkpoints\xes3g5m_fold0_a1_t_misaligned_s17.pt,fe668fa261b6e6f9f9ed8b0d2a6325480b79136363dec7c9ea0eb0a2088b2045,8404751,True,misaligned,0,8.23,ok,trained time-gap-control=misaligned
t_real,17,0,,0.829533007456301,1093755,results\checkpoints\xes3g5m_fold0_qkc_cm_zero_time_s17.pt,fe668fa261b6e6f9f9ed8b0d2a6325480b79136363dec7c9ea0eb0a2088b2045,8404751,True,missing,0,0.09,ok,reused Zero+Δt; not retrained
t_zero,17,0,0.8264822273115975,0.8276057286687984,1093755,results\checkpoints\xes3g5m_fold0_a1_t_zero_s17.pt,fe668fa261b6e6f9f9ed8b0d2a6325480b79136363dec7c9ea0eb0a2088b2045,8404751,True,zero,0,7.58,ok,trained time-gap-control=zero
t_misaligned,42,0,0.8270364229423415,0.8280442542779953,1093755,results\checkpoints\xes3g5m_fold0_a1_t_misaligned_s42.pt,fe668fa261b6e6f9f9ed8b0d2a6325480b79136363dec7c9ea0eb0a2088b2045,8404751,True,misaligned,0,9.05,ok,trained time-gap-control=misaligned
t_real,42,0,,0.8294412808290055,1093755,results\checkpoints\xes3g5m_fold0_qkc_cm_zero_time_s42.pt,fe668fa261b6e6f9f9ed8b0d2a6325480b79136363dec7c9ea0eb0a2088b2045,8404751,True,missing,0,0.14,ok,reused Zero+Δt; not retrained
t_zero,42,0,0.8268188546389275,0.8277443401968512,1093755,results\checkpoints\xes3g5m_fold0_a1_t_zero_s42.pt,fe668fa261b6e6f9f9ed8b0d2a6325480b79136363dec7c9ea0eb0a2088b2045,8404751,True,zero,0,8.67,ok,trained time-gap-control=zero
t_misaligned,1234,0,0.8272857882354707,0.8277776404753433,1093755,results\checkpoints\xes3g5m_fold0_a1_t_misaligned_s1234.pt,fe668fa261b6e6f9f9ed8b0d2a6325480b79136363dec7c9ea0eb0a2088b2045,8404751,True,misaligned,0,7.52,ok,trained time-gap-control=misaligned
t_real,1234,0,,0.8292507020198557,1093755,results\checkpoints\xes3g5m_fold0_qkc_cm_zero_time_s1234.pt,fe668fa261b6e6f9f9ed8b0d2a6325480b79136363dec7c9ea0eb0a2088b2045,8404751,True,missing,0,0.08,ok,reused Zero+Δt; not retrained
t_zero,1234,0,0.8266214264045144,0.8270508481611397,1093755,results\checkpoints\xes3g5m_fold0_a1_t_zero_s1234.pt,fe668fa261b6e6f9f9ed8b0d2a6325480b79136363dec7c9ea0eb0a2088b2045,8404751,True,zero,0,6.85,ok,trained time-gap-control=zero
t_misaligned,2024,0,0.8270356385530944,0.8281374725124898,1093755,results\checkpoints\xes3g5m_fold0_a1_t_misaligned_s2024.pt,fe668fa261b6e6f9f9ed8b0d2a6325480b79136363dec7c9ea0eb0a2088b2045,8404751,True,misaligned,0,8.87,ok,trained time-gap-control=misaligned
t_real,2024,0,,0.8296087041589815,1093755,results\checkpoints\xes3g5m_fold0_qkc_cm_zero_time_s2024.pt,fe668fa261b6e6f9f9ed8b0d2a6325480b79136363dec7c9ea0eb0a2088b2045,8404751,True,missing,0,0.09,ok,reused Zero+Δt; not retrained
t_zero,2024,0,0.82686694456461,0.8276848380061996,1093755,results\checkpoints\xes3g5m_fold0_a1_t_zero_s2024.pt,fe668fa261b6e6f9f9ed8b0d2a6325480b79136363dec7c9ea0eb0a2088b2045,8404751,True,zero,0,6.87,ok,trained time-gap-control=zero
