arm,backend,seed,fold,auc,val_auc,test_auc,question_graph,minutes,status,n_scored
p0_dt_on,dh2,42,0,0.8297544472682574,0.8287787979045964,0.8297544472682574,True,5.0,ok,
p0_dt_on,dh2,17,0,0.8295092369517731,0.8285767697867815,0.8295092369517731,True,5.6,ok,
p0_dt_on,dh2,1234,0,0.829688396890765,0.8284052573467786,0.829688396890765,True,5.2,ok,
p0_dt_on,dh2,0,0,0.8295539701332428,0.8285987439912672,0.8295539701332428,True,4.4,ok,
p0_dt_on,dh2,2024,0,0.829591722573815,0.8287547044803547,0.829591722573815,True,4.9,ok,
hg_qkc_on,dh2,42,0,0.8271838083781617,0.8259819928755084,0.8271838083781617,True,5.0,ok,
hg_qkc_on,dh2,17,0,0.8268906322907175,0.8257946067460306,0.8268906322907175,True,5.0,ok,
hg_qkc_on,dh2,1234,0,0.8267596585200947,0.8260488533915578,0.8267596585200947,True,5.0,ok,
hg_qkc_on,dh2,0,0,0.8268538547353809,0.8255360894996742,0.8268538547353809,True,5.2,ok,
hg_qkc_on,dh2,2024,0,0.8271662222253603,0.8260763407229377,0.8271662222253603,True,5.6,ok,
hg_qkc_off,dh2,42,0,0.8204965549876135,0.8198615066062169,0.8204965549876135,False,3.2,ok,
hg_qkc_off,dh2,17,0,0.8205138604344198,0.8201434936105652,0.8205138604344198,False,3.7,ok,
hg_qkc_off,dh2,1234,0,0.8204061334645296,0.8199763083410382,0.8204061334645296,False,3.9,ok,
hg_qkc_off,dh2,0,0,0.8208869326441229,0.8204024416597543,0.8208869326441229,False,3.8,ok,
hg_qkc_off,dh2,2024,0,0.8206810708666867,0.8201557110869522,0.8206810708666867,False,4.0,ok,
simplekt,pykt,42,0,0.8203049681408496,,0.8203049681408496,False,8.1,ok,1093720.0
simplekt,pykt,17,0,0.8218978637592715,,0.8218978637592715,False,8.1,ok,1093720.0
simplekt,pykt,1234,0,0.8213273193642172,,0.8213273193642172,False,7.5,ok,1093720.0
simplekt,pykt,0,0,0.8217103326466654,,0.8217103326466654,False,8.3,ok,1093720.0
simplekt,pykt,2024,0,0.8218295260088383,,0.8218295260088383,False,7.7,ok,1093720.0
gikt,pykt,42,0,0.8256825208248771,,0.8256825208248771,False,220.9,ok,1093720.0
gikt,pykt,17,0,0.8258301248895831,,0.8258301248895831,False,203.9,ok,1093720.0
gikt,pykt,1234,0,0.8258777777381453,,0.8258777777381453,False,152.4,ok,1093720.0
gikt,pykt,0,0,0.8259444254518532,,0.8259444254518532,False,114.1,ok,1093720.0
gikt,pykt,2024,0,0.8258952965840216,,0.8258952965840216,False,114.6,ok,1093720.0
akt,pykt,42,0,0.8223074585980827,,0.8223074585980827,False,14.0,ok,1093720.0
akt,pykt,17,0,0.8222103087549277,,0.8222103087549277,False,16.9,ok,1093720.0
akt,pykt,1234,0,0.8220891641378281,,0.8220891641378281,False,13.8,ok,1093720.0
akt,pykt,0,0,0.822235242710351,,0.822235242710351,False,13.0,ok,1093720.0
akt,pykt,2024,0,0.8224114590184076,,0.8224114590184076,False,15.2,ok,1093720.0
