dataset,fold,model,tag,window_mode,mask_repeats,eval_split,auc,acc,nll,n_scored,batch_size,epochs,max_seq_len,lr,p0_published_auc,delta_vs_published,minutes,note
xes3g5m,0,simplekt,C_simplekt_clean_L400_s42,chunked,True,test,0.8203049681408496,0.8272473759280254,0.3916428933370566,1093720,64,30,400,0.001,0.8744411161851224,-0.0541361480442728,7.9,pyKT `simplekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.
xes3g5m,0,simplekt,C_simplekt_clean_L400_s17,chunked,True,test,0.8218978637592715,0.8277337892696486,0.3903196455335921,1093720,64,30,400,0.001,0.8744411161851224,-0.0525432524258508,7.9,pyKT `simplekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.
xes3g5m,0,simplekt,C_simplekt_clean_L400_s1234,chunked,True,test,0.8213273193642172,0.8275737848809568,0.3900612124436594,1093720,64,30,400,0.001,0.8744411161851224,-0.0531137968209052,7.3,pyKT `simplekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.
xes3g5m,0,simplekt,C_simplekt_clean_L400_s0,chunked,True,test,0.8217103326466654,0.8277657901473869,0.3930040346068992,1093720,64,30,400,0.001,0.8744411161851224,-0.052730783538457,8.0,pyKT `simplekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.
xes3g5m,0,simplekt,C_simplekt_clean_L400_s2024,chunked,True,test,0.8218295260088383,0.8276917309731924,0.3902098246695685,1093720,64,30,400,0.001,0.8744411161851224,-0.0526115901762841,7.4,pyKT `simplekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.
xes3g5m,0,gikt,C_gikt_clean_L400_e30b16_s42,chunked,True,test,0.8256825208248771,0.8293832059393629,0.3864393804076964,1093720,16,30,400,0.001,0.8775823299875001,-0.0518998091626229,220.6,pyKT `gikt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.
xes3g5m,0,gikt,C_gikt_clean_L400_e30b16_s17,chunked,True,test,0.8258301248895831,0.8292378305233515,0.3871477054987437,1093720,16,30,400,0.001,0.8775823299875001,-0.051752205097917,203.6,pyKT `gikt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.
xes3g5m,0,gikt,C_gikt_clean_L400_e30b16_s1234,chunked,True,test,0.8258777777381453,0.8292963464140731,0.3862402094664436,1093720,16,30,400,0.001,0.8775823299875001,-0.0517045522493547,152.1,pyKT `gikt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.
xes3g5m,0,gikt,C_gikt_clean_L400_e30b16_s0,chunked,True,test,0.8259444254518532,0.8297333869728998,0.3861712972130093,1093720,16,30,400,0.001,0.8775823299875001,-0.0516379045356468,113.8,pyKT `gikt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.
xes3g5m,0,gikt,C_gikt_clean_L400_e30b16_s2024,chunked,True,test,0.8258952965840216,0.8293978349120433,0.3863298039667526,1093720,16,30,400,0.001,0.8775823299875001,-0.0516870334034784,114.4,pyKT `gikt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.
xes3g5m,0,akt,C_akt_clean_L400_s42,chunked,True,test,0.8223074585980827,0.8282165453681015,0.3893177676914438,1093720,64,30,400,0.001,0.8740823569517637,-0.0517748983536809,13.8,pyKT `akt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.
xes3g5m,0,akt,C_akt_clean_L400_s17,chunked,True,test,0.8222103087549277,0.8281022565190359,0.3896892320217874,1093720,64,30,400,0.001,0.8740823569517637,-0.0518720481968359,16.6,pyKT `akt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.
xes3g5m,0,akt,C_akt_clean_L400_s1234,chunked,True,test,0.8220891641378281,0.8277237318509307,0.3899523573349178,1093720,64,30,400,0.001,0.8740823569517637,-0.0519931928139356,13.5,pyKT `akt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.
xes3g5m,0,akt,C_akt_clean_L400_s0,chunked,True,test,0.822235242710351,0.8279687671433273,0.3896288720957941,1093720,64,30,400,0.001,0.8740823569517637,-0.0518471142414127,12.8,pyKT `akt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.
xes3g5m,0,akt,C_akt_clean_L400_s2024,chunked,True,test,0.8224114590184076,0.8282997476502213,0.38981969178447545,1093720,64,30,400,0.001,0.8740823569517637,-0.05167089793335611,15.0,pyKT `akt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.
