arm,label,role,seed,checkpoint,test_only_auc,n_test_predictions,minutes,status,note
a7_dt_both,A7 both (alias of QKC-T if missing),a7_both,0,results\checkpoints\xes3g5m_fold0_p0_dt_on_s0.pt,0.8293679673486355,1093755.0,0.06,ok,
a7_dt_both,A7 both (alias of QKC-T if missing),a7_both,17,results\checkpoints\xes3g5m_fold0_p0_dt_on_s17.pt,0.8294399983926389,1093755.0,0.06,ok,
a7_dt_both,A7 both (alias of QKC-T if missing),a7_both,42,results\checkpoints\xes3g5m_fold0_p0_dt_on_s42.pt,0.8295929554785976,1093755.0,0.06,ok,
a7_dt_both,A7 both (alias of QKC-T if missing),a7_both,1234,results\checkpoints\xes3g5m_fold0_p0_dt_on_s1234.pt,0.8295453140873555,1093755.0,0.06,ok,
a7_dt_both,A7 both (alias of QKC-T if missing),a7_both,2024,results\checkpoints\xes3g5m_fold0_p0_dt_on_s2024.pt,0.8295113452782017,1093755.0,0.07,ok,
a7_dt_lstm,history-only Δt,a7_lstm,0,results\checkpoints\xes3g5m_fold0_a7_dt_lstm_s0.pt,0.828448430305929,1093755.0,0.07,ok,
a7_dt_lstm,history-only Δt,a7_lstm,17,results\checkpoints\xes3g5m_fold0_a7_dt_lstm_s17.pt,0.8284956323975977,1093755.0,0.07,ok,
a7_dt_lstm,history-only Δt,a7_lstm,42,results\checkpoints\xes3g5m_fold0_a7_dt_lstm_s42.pt,0.8288338121992898,1093755.0,0.14,ok,
a7_dt_lstm,history-only Δt,a7_lstm,1234,results\checkpoints\xes3g5m_fold0_a7_dt_lstm_s1234.pt,0.8288552640046148,1093755.0,0.07,ok,
a7_dt_lstm,history-only Δt,a7_lstm,2024,results\checkpoints\xes3g5m_fold0_a7_dt_lstm_s2024.pt,0.828592198470994,1093755.0,0.07,ok,
a7_dt_query,query-only Δt,a7_query,0,results\checkpoints\xes3g5m_fold0_a7_dt_query_s0.pt,0.8280214857150336,1093755.0,0.06,ok,
a7_dt_query,query-only Δt,a7_query,17,results\checkpoints\xes3g5m_fold0_a7_dt_query_s17.pt,0.8277016460131432,1093755.0,0.07,ok,
a7_dt_query,query-only Δt,a7_query,42,results\checkpoints\xes3g5m_fold0_a7_dt_query_s42.pt,0.8276643286550797,1093755.0,0.03,ok,
a7_dt_query,query-only Δt,a7_query,1234,results\checkpoints\xes3g5m_fold0_a7_dt_query_s1234.pt,0.8277927155510452,1093755.0,0.07,ok,
a7_dt_query,query-only Δt,a7_query,2024,results\checkpoints\xes3g5m_fold0_a7_dt_query_s2024.pt,0.8279696764791359,1093755.0,0.08,ok,
hg_qkc_on,Q←KC,no_time,0,results\checkpoints\xes3g5m_fold0_hg_qkc_on_s0.pt,0.8268284120476985,1093755.0,0.07,ok,
hg_qkc_on,Q←KC,no_time,17,results\checkpoints\xes3g5m_fold0_hg_qkc_on_s17.pt,0.8267718200801081,1093755.0,0.06,ok,
hg_qkc_on,Q←KC,no_time,42,results\checkpoints\xes3g5m_fold0_hg_qkc_on_s42.pt,0.8269842184279067,1093755.0,0.05,ok,
hg_qkc_on,Q←KC,no_time,1234,results\checkpoints\xes3g5m_fold0_hg_qkc_on_s1234.pt,0.8265715511885258,1093755.0,0.06,ok,
hg_qkc_on,Q←KC,no_time,2024,results\checkpoints\xes3g5m_fold0_hg_qkc_on_s2024.pt,0.8270141753151885,1093755.0,0.06,ok,
p0_dt_on,QKC-T,evaluation_arm,0,results\checkpoints\xes3g5m_fold0_p0_dt_on_s0.pt,0.8293679673486355,1093755.0,0.07,ok,
p0_dt_on,QKC-T,evaluation_arm,17,results\checkpoints\xes3g5m_fold0_p0_dt_on_s17.pt,0.8294399983926389,1093755.0,0.06,ok,
p0_dt_on,QKC-T,evaluation_arm,42,results\checkpoints\xes3g5m_fold0_p0_dt_on_s42.pt,0.8295929554785976,1093755.0,0.37,ok,matches a6 seed-42 within 5e-5
p0_dt_on,QKC-T,evaluation_arm,1234,results\checkpoints\xes3g5m_fold0_p0_dt_on_s1234.pt,0.8295453140873555,1093755.0,0.07,ok,
p0_dt_on,QKC-T,evaluation_arm,2024,results\checkpoints\xes3g5m_fold0_p0_dt_on_s2024.pt,0.8295113452782017,1093755.0,0.06,ok,
