slice_dim,slice,n,positive_rate,auc_hint,auc_off,delta,delta_ci_lo,delta_ci_hi,significant
overall,all,340356,0.6211378674094183,0.8007041419297652,0.8006830494489706,2.1092480794626667e-05,-0.0007343606348759024,0.0010606736529045603,False
target_concept_train_freq,unseen,0,,,,,,,False
target_concept_train_freq,1-99,221,0.5294117647058824,0.7428500986193294,0.7074293228139383,0.03542077580539105,0.015798927778635608,0.057990803600102364,True
target_concept_train_freq,100-499,2484,0.5479066022544283,0.7713597133740252,0.7709484998393749,0.0004112135346503454,-0.006896659254786139,0.006812652634296171,False
target_concept_train_freq,500-1999,17078,0.6114299098255065,0.7968839601257915,0.7973316020212803,-0.00044764189548873734,-0.003187113224887694,0.0017741701103442132,False
target_concept_train_freq,2000-9999,92088,0.6334484406220138,0.7956366951294656,0.7944740939920931,0.001162601137372432,0.00022871352870565133,0.0022636800927619736,True
target_concept_train_freq,10000+,228485,0.6177867256056196,0.8031960819403893,0.8036333000452018,-0.0004372181048125645,-0.0012735262418387377,0.0003985918572890267,False
position_in_learner_log,1-5,3832,0.5662839248434238,0.7689848164722975,0.7671225052266162,0.0018623112456813695,-0.002044241929756349,0.0060083808741177675,False
position_in_learner_log,6-20,14364,0.6088833194096352,0.7919132049746669,0.7912854247279558,0.0006277802467110627,-0.0015828144108394476,0.0027609167521446716,False
position_in_learner_log,21-50,28190,0.5718339836821568,0.7967892653688883,0.7969062113888998,-0.00011694602001155463,-0.001760444591855373,0.0016569713818761582,False
position_in_learner_log,51-100,47191,0.6056663346824607,0.7976351712142825,0.7978375730841483,-0.0002024018698657537,-0.001646306043341364,0.0009910957490999255,False
position_in_learner_log,101+,246779,0.6312935865693596,0.8018438321632417,0.8018421946527451,1.6375104966437348e-06,-0.0005365211791800023,0.001259204401960497,False
target_item_kc_count,single_kc_item,340356,0.6211378674094183,0.8007041419297652,0.8006830494489706,2.1092480794626667e-05,-0.0007343606348759024,0.0010606736529045603,False
target_item_kc_count,multi_kc_item,0,,,,,,,False
target_hint_used,has_hint,17678,0.0020929969453558094,0.6979962219461114,0.7119930996128491,-0.013996877666737628,-0.048133339508859764,0.013286413220977417,False
target_hint_used,no_hint,322678,0.6550524051841154,0.7902645952244823,0.7903802786597995,-0.00011568343531720426,-0.0013472851273504422,0.0006207119523711664,False
target_is_repeat_row,repeat_of_same_attempt,0,,,,,,,False
target_is_repeat_row,fresh_attempt,340356,0.6211378674094183,0.8007041419297652,0.8006830494489706,2.1092480794626667e-05,-0.0007343606348759024,0.0010606736529045603,False
