slice_dim,slice,n,positive_rate,auc_hconv,auc_qgraph,delta,delta_ci_lo,delta_ci_hi,significant
overall,all,1093755,0.7918464372734296,0.8273387960168598,0.8269842183645132,0.0003545776523465882,-0.0008420724703390115,0.0012076482204452536,False
target_concept_train_freq,unseen,1,1.0,,,,,,False
target_concept_train_freq,1-99,1460,0.7342465753424657,0.8364856612555778,0.8343098457454993,0.002175815510078505,-0.006701812449204381,0.011329161827192942,False
target_concept_train_freq,100-499,9561,0.7720949691454869,0.8622492116753488,0.8624396952312839,-0.0001904835559350948,-0.003053358111773047,0.002584675007802119,False
target_concept_train_freq,500-1999,40475,0.8004694255713404,0.8305702278399955,0.8309534051499182,-0.00038317730992276644,-0.002141551522723481,0.0010895380651839229,False
target_concept_train_freq,2000-9999,252818,0.773208394971877,0.822191386730883,0.8214599206907303,0.0007314660401527284,-0.0006402260602670712,0.0012949681126800333,False
target_concept_train_freq,10000+,789440,0.7977186359951358,0.8279305166945415,0.8276174269184388,0.00031308977610278177,-0.0010590125979007714,0.0008948429566188962,False
position_in_learner_log,1-5,13281,0.7345079436789398,0.7814622895075696,0.7810706320740153,0.0003916574335542933,-0.0021824096078695344,0.0033100191138418157,False
position_in_learner_log,6-20,49141,0.7285973016422133,0.7894123992172961,0.7881288013911468,0.0012835978261492853,-0.00046639775545755655,0.0028444440904440743,False
position_in_learner_log,21-50,97045,0.7488896903498377,0.8016607803334952,0.801338514865381,0.0003222654681142023,-0.0006315125895789503,0.0013306359793391035,False
position_in_learner_log,51-100,159618,0.7756330739640893,0.8172653595203982,0.816952561898445,0.00031279762195324246,-0.00040667307502606774,0.0016120383375720704,False
position_in_learner_log,101+,774670,0.8055636593646327,0.8342151667071135,0.8338465604825486,0.00036860622456491576,-0.0012892406660806987,0.0008886689619388543,False
target_item_kc_count,single_kc_item,956199,0.7906962881157583,0.8263516265376375,0.8259881781307284,0.00036344840690905045,-0.00047215669153697346,0.0014931186048565272,False
target_item_kc_count,multi_kc_item,137556,0.7998415190904068,0.8338394979358248,0.8335568754211071,0.00028262251471766753,-0.0006860990780248266,0.0014633266697137682,False
target_is_repeat_row,repeat_of_same_attempt,0,,,,,,,False
target_is_repeat_row,fresh_attempt,1093755,0.7918464372734296,0.8273387960168598,0.8269842183645132,0.0003545776523465882,-0.0008420724703390115,0.0012076482204452536,False
