arm,seed,fold,val_auc,test_auc,n_predictions,state_shape_signature,state_numel,incidence_nonzero,checkpoint_control,minutes,status
observed,0,0,0.8255360894996742,0.8268538547353809,1640242,8c7be75e47324423a1b23e85983c8799f2145fee674bcafa35549ce7e03fa0af,8404495,8848,observed,5.53,ok
zero,0,0,0.8260983667951232,0.8270574669372384,1640242,8c7be75e47324423a1b23e85983c8799f2145fee674bcafa35549ce7e03fa0af,8404495,0,zero,4.67,ok
observed,17,0,0.8257946067460306,0.8268906322907175,1640242,8c7be75e47324423a1b23e85983c8799f2145fee674bcafa35549ce7e03fa0af,8404495,8848,observed,5.07,ok
zero,17,0,0.8258948828709274,0.8270339638685161,1640242,8c7be75e47324423a1b23e85983c8799f2145fee674bcafa35549ce7e03fa0af,8404495,0,zero,4.93,ok
observed,42,0,0.8259819928755084,0.8271838083781617,1640242,8c7be75e47324423a1b23e85983c8799f2145fee674bcafa35549ce7e03fa0af,8404495,8848,observed,5.1,ok
zero,42,0,0.8261888951569669,0.8270559353246794,1640242,8c7be75e47324423a1b23e85983c8799f2145fee674bcafa35549ce7e03fa0af,8404495,0,zero,5.06,ok
observed,1234,0,0.8260488533915578,0.8267596585200947,1640242,8c7be75e47324423a1b23e85983c8799f2145fee674bcafa35549ce7e03fa0af,8404495,8848,observed,4.85,ok
zero,1234,0,0.8256678692754864,0.8265833234882108,1640242,8c7be75e47324423a1b23e85983c8799f2145fee674bcafa35549ce7e03fa0af,8404495,0,zero,5.98,ok
observed,2024,0,0.8260763407229377,0.8271662222253603,1640242,8c7be75e47324423a1b23e85983c8799f2145fee674bcafa35549ce7e03fa0af,8404495,8848,observed,5.68,ok
zero,2024,0,0.8261035565952441,0.8269347538983317,1640242,8c7be75e47324423a1b23e85983c8799f2145fee674bcafa35549ce7e03fa0af,8404495,0,zero,4.49,ok
