dataset,fold,model,tag,window_mode,mask_repeats,eval_split,auc,acc,nll,n_scored,batch_size,epochs,lr,p0_published_auc,delta_vs_published,minutes,note,max_seq_len
xes3g5m,0,dkt,A_dkt_repro,last,False,test,0.8578063660471157,0.8506033209767709,0.342360744372771,719186,64,30,0.001,0.8577610832042228,4.528284289284645e-05,0.7,pyKT `dkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,
xes3g5m,0,simplekt,A_simplekt_repro,last,False,test,0.8744682616392708,0.8575764823008234,0.3243965801617089,719186,64,30,0.001,0.8744411161851224,2.714545414839176e-05,2.6,pyKT `simplekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,
xes3g5m,0,dkt,B_dkt_leaky,chunked,False,test,0.8455168956627896,0.8430294964057022,0.3590430020639272,1273545,64,30,0.001,0.8577610832042228,-0.0122441875414331,0.9,pyKT `dkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,
xes3g5m,0,dkt,C_dkt_clean,chunked,True,test,0.7983657904081214,0.8197224580817074,0.4086916632153545,1090574,64,30,0.001,0.8577610832042228,-0.0593952927961014,1.2,pyKT `dkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,
xes3g5m,0,simplekt,B_simplekt_leaky,chunked,False,test,0.8654542270086996,0.8510519848140427,0.33770987222401,1273545,64,30,0.001,0.8744411161851224,-0.0089868891764228,6.9,pyKT `simplekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,
xes3g5m,0,simplekt,C_simplekt_clean,chunked,True,test,0.8177598294559065,0.8266839297470873,0.3929264660332143,1090574,64,30,0.001,0.8744411161851224,-0.0566812867292159,4.9,pyKT `simplekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,
xes3g5m,0,akt,A_akt_repro,last,False,test,0.8742193351989183,0.8571621249579385,0.326027160249469,719186,64,30,0.001,0.8740823569517637,0.0001369782471545,6.5,pyKT `akt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,
xes3g5m,0,akt,B_akt_leaky,chunked,False,test,0.8653108664724752,0.8507025664581934,0.338853318426396,1273545,64,30,0.001,0.8740823569517637,-0.0087714904792884,13.3,pyKT `akt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,
xes3g5m,0,akt,C_akt_clean,chunked,True,test,0.8197510069693055,0.8268994126029046,0.3925806786142876,1090574,64,30,0.001,0.8740823569517637,-0.0543313499824582,10.9,pyKT `akt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,
xes3g5m,0,gikt,A_gikt_repro,last,False,test,0.8777681921579212,0.8591769027761942,0.3217484302969381,719186,8,10,0.001,0.8775823299875001,0.0001858621704211,94.0,pyKT `gikt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,
xes3g5m,0,gikt,B_gikt_leaky,chunked,False,test,0.8684481864507977,0.8526671613488334,0.3354448151616495,1273545,8,10,0.001,0.8775823299875001,-0.0091341435367023,136.8,pyKT `gikt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,
xes3g5m,0,gikt,C_gikt_clean,chunked,True,test,0.8238070616432892,0.8288121668039032,0.3884962134591889,1090574,8,10,0.001,0.8775823299875001,-0.0537752683442108,142.7,pyKT `gikt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,
xes3g5m,0,simplekt,C_simplekt_clean_s17,chunked,True,test,0.817857770877485,0.8265087926174657,0.3928215593244854,1090574,64,30,0.001,0.8744411161851224,-0.0565833453076374,5.3,pyKT `simplekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,
xes3g5m,0,simplekt,C_simplekt_clean_s1234,chunked,True,test,0.8177620632752225,0.8265491383436613,0.3933955574491268,1090574,64,30,0.001,0.8744411161851224,-0.0566790529098999,5.3,pyKT `simplekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,
xes3g5m,0,dkt,C_dkt_clean_L400_s42,chunked,True,test,0.8010791220077708,0.8204257031049994,0.4066846478039319,1093720,64,30,0.001,0.8577610832042228,-0.056681961196452,2.9,pyKT `dkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,400.0
xes3g5m,0,dkt,C_dkt_clean_L400_s17,chunked,True,test,0.8010137287845345,0.820557363859123,0.406750850780015,1093720,64,30,0.001,0.8577610832042228,-0.0567473544196883,2.8,pyKT `dkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,400.0
xes3g5m,0,dkt,C_dkt_clean_L400_s1234,chunked,True,test,0.8008991052244165,0.820393702227261,0.4067564829044811,1093720,64,30,0.001,0.8577610832042228,-0.0568619779798063,2.9,pyKT `dkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,400.0
xes3g5m,0,dkt,C_dkt_clean_L400_s0,chunked,True,test,0.8006028453169378,0.8203059283911788,0.4072796340672855,1093720,64,30,0.001,0.8577610832042228,-0.057158237887285,2.8,pyKT `dkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,400.0
xes3g5m,0,dkt,C_dkt_clean_L400_s2024,chunked,True,test,0.800859071516475,0.820463189847493,0.4068424635137899,1093720,64,30,0.001,0.8577610832042228,-0.0569020116877478,2.9,pyKT `dkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,400.0
xes3g5m,0,dgekt,C_dgekt_clean_L400_s42,chunked,True,test,0.7850864998057587,0.814570456789672,0.4187791356283152,1093720,16,10,0.001,0.8409904983626277,-0.055903998556869,202.2,pyKT `dgekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,400.0
xes3g5m,0,dgekt,C_dgekt_clean_L400_s17,chunked,True,test,0.7850177781831482,0.815151044142925,0.418510726031749,1093720,16,10,0.001,0.8409904983626277,-0.0559727201794795,132.8,pyKT `dgekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,400.0
xes3g5m,0,dgekt,C_dgekt_clean_L400_s1234,chunked,True,test,0.7848639723492838,0.8149965256189884,0.4190988553945534,1093720,16,10,0.001,0.8409904983626277,-0.0561265260133438,132.4,pyKT `dgekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,400.0
xes3g5m,0,dgekt,C_dgekt_clean_L400_s0,chunked,True,test,0.7850258400872001,0.8148785795267527,0.418953327670106,1093720,16,10,0.001,0.8409904983626277,-0.0559646582754276,131.6,pyKT `dgekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,400.0
xes3g5m,0,dgekt,C_dgekt_clean_L400_s2024,chunked,True,test,0.7847687890525451,0.814978239403138,0.4188377295815569,1093720,16,10,0.001,0.8409904983626277,-0.056221709310082635,128.5,pyKT `dgekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,400.0
