slice_dim,slice,n,positive_rate,auc_graph,auc_nograph,delta,delta_ci_lo,delta_ci_hi,significant
overall,all,1910331,0.7933630349923652,0.8486958285451762,0.8489417700408045,-0.00024594149562828793,-0.001009231145726941,0.0008704074027186721,False
target_concept_train_freq,unseen,2,0.5,1.0,0.0,1.0,1.0,1.0,True
target_concept_train_freq,1-99,2738,0.7487216946676406,0.8836907969370391,0.881604154849688,0.0020866420873510982,-0.003302490659385185,0.008315923996808127,False
target_concept_train_freq,100-499,17557,0.7794042262345503,0.8952134765806462,0.8943265490942209,0.0008869274864252708,-0.001252196697158206,0.003115718091734386,False
target_concept_train_freq,500-1999,78728,0.7974672289401483,0.8884972562019047,0.8885651592105839,-6.790300867920429e-05,-0.0009574836176474172,0.0007888964958958063,False
target_concept_train_freq,2000-9999,462324,0.7767820835604468,0.8645389639454054,0.8646694445995271,-0.00013048065412168963,-0.0011678819988018535,0.0004296928189263657,False
target_concept_train_freq,10000+,1348982,0.7990788609484781,0.8390355594820653,0.8393558274416788,-0.000320267959613485,-0.001827248983183974,0.0002529203221379561,False
position_in_learner_log,1-5,21680,0.7337638376383764,0.7888526691330313,0.7871993432088982,0.0016533259241331422,-0.0004938273453602787,0.003791958950239428,False
position_in_learner_log,6-20,81300,0.7345633456334564,0.8001478827360553,0.8009431121880485,-0.0007952294519931735,-0.001789394680733769,0.0003700826451567535,False
position_in_learner_log,21-50,162600,0.7510147601476015,0.8181497035056823,0.817884462969369,0.0002652405363132715,-0.0009822414201805295,0.001213573755506983,False
position_in_learner_log,51-100,271000,0.7752509225092251,0.8368592930304096,0.8369952700334851,-0.00013597700307543814,-0.001201743820326781,0.0007289162539788974,False
position_in_learner_log,101+,1373751,0.8063688397679055,0.8569777987583836,0.8573161551408282,-0.0003383563824445046,-0.0015191908411899852,0.0003287208149226505,False
target_item_kc_count,single_kc_item,1444802,0.7913015070577145,0.798125046497116,0.7982213026583094,-9.625616119335323e-05,-0.0008786753011209486,0.0013320805293041166,False
target_item_kc_count,multi_kc_item,465529,0.7997611319595557,0.9600817743008376,0.9604735227112465,-0.00039174841040889863,-0.000682365947325822,6.849402437498463e-05,False
target_is_repeat_row,repeat_of_same_attempt,274803,0.7987321826908731,0.9996639464468464,0.9996772158524736,-1.326940562718093e-05,-4.467148195685944e-05,1.818779868727749e-05,False
target_is_repeat_row,fresh_attempt,1635528,0.7924609055913442,0.7976856258579385,0.7978370496145387,-0.0001514237566002663,-0.0011343507245715118,0.0012182104421709712,False
